Comment,review1,review2,review3
"""এতদিন শান্তিবাহিনী একশন করেছে এখন রিয়েকশন পাচ্ছে। ভারতেও তাই, কানাডাতেও তাই।""",antisocial,antisocial,antisocial
"""ধন্যবাদ স্যার৷সুন্দর লিখনি ৷বিভেদ আর ঘৃণার দেওয়াল গুলো যে কবে ভাঙবে,জানিনা৷সত্যই জানিনা৷""",social,social,social
অভিনয় ভালই পারছ,antisocial,antisocial,antisocial
আপনার লেখাগুলো পড়ছিলাম আর মনে মনে ভাবছিলাম যদি কাকতালীয়ভাবে এই কথাগুলি একটা ধর্মের কথা হতো.. আর সবাই যদি এভাবেই চিন্তা করত ...সবাই এমনই একটা মানব & মানবতার ধর্ম পালন করত ... মানুষ সবাই যেহেতু ধর্মের আশ্রয়ে থাকতে চায় হোক না সে ধার্মিক... মানবতার সেই ধর্ম ....নাস্তিক হওয়ার দরকার নেই....কতই না সুন্দর হতো আমাদের পৃথিবী.........আপনার চিন্তা শক্তি অনেক বড় অনেক কিছু শিখেছি... আশা করি ভবিষ্যতেও আরো কিছু শিকবো... দেশকে পাল্টাতে না পারি নিজেকে পাল্টে দিয়েছি অনেক গুণে আপনার কথা শুনে...শুনে....আপনার মত প্রকাশ্যে না হোক মনে মনেও অনেক আসিফ মহিউদ্দিনের জন্ম হয়ে গেছে,social,social,social
কোন ধর্মই জঙ্গিবাদ সমর্থন করেনাযারা এইগুলো করে তারা ধর্ম সম্পর্কে অজ্ঞ,social,social,social
কিছু ভালো কথা বলতে বলতে পচা মার্কা কথা বলা শুরু করলেন। একজন ইসলামী ধার্মিক ব্যক্তি কখনোই জঙ্গি হতে পারে না বা কখনই আরেকজনের উপর বিদ্বেষ পোষণ করতে পারেনা। কোরআনের যে আয়াত গুলো নিজের মত বুঝে ব্যাখ্যা করেন এজন্যই এরকম বুঝ আপনাদের ভিতরে পয়দা hoy। ইসলাম বুঝতে হলে আলেম-ওলামাদের কাছে আসুন নিজের মত করে বুঝবেন না।,social,social,social
"""ইসলামের বিধান মুরতাদের কতল করা, সব মুসলমান তা বিশ্বাস করে না, এটা কেমন কথা। মুসলমান হতে হলে ইসলামের বিধান তো মানতে হবে।""",social,social,social
ইসলামের এমন কোন বিধান নেই যেটা মানবজাতির জন্য অকল্যাণকর।সুতরাং ইসলাম নিয়ে সমালোচনা করার কোন জায়গা নেই,social,social,social
যে কোন ধর্ম মাথায় ধারন করলে মনুষত্ব মাথা থেকে বের হয়ে যায়। তখন ধর্ম যা বলে তাই শুনতে হয় ।না হলে ঈমান নষ্ট হয়ে যায় নরক অনিবার্য,social,social,social
"""খুব ভালো লিখেছেন।বাস্তব তাই, ধর্মভিত্তিক ভাগ থেকেই জঙ্গিবাদের সৃষ্টি।""",social,social,social
ভালো লিখেছেন ۔,social,social,social
"""হেঁ হেঁ! ইসলামী জঙ্গিরা না কইমা, ধর্মীয় জঙ্গিবাদ মেইন্সট্রিম হইয়া যাইতেছে! কি আনন্দ!বাট মনে হইতেছে ইসলাম বিদ্বেষ না, কানাডার কানাগুলা জেনফোবিয়ায় ভুগিতেছে। শালারা তো সপ্তাহে ৪০ ঘণ্টাও কাজ করবার চায় না, অফিসের অর্ধেক টাইপ স্ন্যাক্স চাবায়ে আর আড্ডা দিয়ে নষ্ট করে। তার উপরে বাচ্চা-কাচ্চাও নিবার চায় না। অর্থনীতি বাঁচাইবার লগে বিদেশী ইমিগ্র্যান্ড যে আইবো, আর হ্যার সুযোগে ট্রুডো বাই যে ব্যাকডোর দিয়ে ঘরবাড়ির দাম বাড়ায়ে দিবো এইটাই তো স্বাভাবিক। মজা আইতেছে মাইনসে রিয়াল স্টেট ব্যাবসায়ীগো কিছু কইবো না, ট্রাক চাপা দিবো পাশের বাড়ির ইমিগ্র্যান্ট ফ্যামিলিরে, সেই ইমিগ্র্যান্ট যত গরীব দেশের তত সম্ভবনা বেশি।""",antisocial,antisocial,antisocial
মগাচিপ আপনার ও রেহাই নেই কারণ আপনিও মুসলিম ।,antisocial,antisocial,antisocial
"""সে শিশু বড় হয়ে প্রতিশোধ নিতেও পারে নাও পারে,, তবে সে পরকালের ওপর আস্থা রাখবে এটাই মূল বিষয়,, এই জগতে বিচার না হলেও পরকালে বিচার হবে, এই বিশ্বাসে সে শান্তি পাবে,, কিন্তু নাস্তিকদের জীবন তো শুধু পৃথিবীতে,, এরা পরকাল মানে না,, তাই ওই ঘটনায় যদি নাস্তিক বেঁচে যেত, তাহলে সে প্রতিশোধ নেবার জন্য অবশ্যই জঙ্গি তৈরি হত""",social,social,social
খুবই চমৎকার লিখেছে যা আমার লাইফের সাথে মিলে । কারগীলের যুদ্দের পর পর আমি ভারতের গুজরাটে যাই এবং আমাকে ও কঠীন রিমান্ডে নেয়ার হয়েছে কারন আমি ছিলাম মুসলিম ঠিক তখন থেকে আমিও দেশে আসার পর হিন্দু সম্প্রদায়ের ওপর হামলা ছালানোর পর্যায়ে এসে আর পারলাম না । যুক্তি দিয়ে ভাবলাম আমার ব্যাথায় এই মানুষ গুলো তো দায়ী নয় । ইসলামে কিন্তু যুক্তি ছলেনা,social,social,social
সংক্ষেপে কমিউনিজমের সমালোচনা করুণ।,social,social,social
"""হিংসা, বিদ্বেষ বন্ধ হোক ভালোবাসাময়, মানবিক পৃথিবী হোক""",social,social,social
"""নিজে ভালো থাকার স্বার্থে। আমার পাশের জনকে ভালো থাকার সুযোগ দেয়া। এভাবে যদি বিশ্বের প্রতিটা মানুষ চলতে থাকি,তাহলে বিশ্বময় অশান্তি এক নিমিষেই দূর হতে পারে।যেখানে রাজতন্ত্র,স্বৈরতন্ত্র, সমাজতন্ত্র,গণতন্ত্র,ধর্মতন্ত্র কোন তন্ত্র ই বিশ্বের শতভাগ মানুষের সুশাসন নিশ্চিত করতে পারেনি। এর মধ্যে গণতন্ত্র সর্বাধিক গ্রহণযোগ্য তবুও সংখ্যাগরিষ্ঠতার কাছে সংখ্যালঘুরা নিপীড়িত,শোষিত হওয়ার সুযোগ থাকে। আবার গণতন্ত্রে সংখ্যাগরিষ্ঠ মানুষ যদি চোর হয় সেই সমাজটি চোরের নেতৃত্বে শাসিত হওয়ার সুযোগও থাকে। অর্থাৎ অনৈতিক মতাদর্শের মানুষ যদি সংখ্যাগরিষ্ঠ হয় সেক্ষেত্রে অনৈতিক মতাদর্শের নেতৃত্বে ওই সমাজ রাষ্ট্র পরিচালিত হয়। তাই আমারা পাশের জন কে ভালো থাকার সুযোগ দিয়ে একে অপরে আমরা সবাই ভালো থাকতে পারি। সেক্ষেত্রে আমি,আমরা যে মতাদর্শের ই হই,বাআমার পাশে থাকা মানুষটি যে মতাদর্শের ই হোক।আমরা সবাই মিলে ভালো থাকবো সেটাই হওয়া উচিত । যেমনটি আমি যে মতাদর্শ লালন করি সেটা আমার পাশের জনকে কখনো জোর করে চাপিয়ে দেওয়ার চেষ্টা করা উচিত নয়। আপনার মতাদর্শ যুক্তি সহকারে কারো প্রতি আপনার মতাদর্শ বিহীন আর কোন মতাদর্শ থাকতে পারে না,এমনটি	যখনই হবে তখনই অশান্তির সৃষ্টি হয়। যেমনটি আমরা	লক্ষ্য করছি দেশে  দেশে।""",social,social,social
"""অতি সরলিকরন করে ফেললেন। আপনার মত লোকেরাই এদের মদতদাতা। এত জঙ্গীসংগঠন অন্য কোন সম্প্রদায়ের মধ্যে নেই। কারন এটাই আসমানি কিতাবের নির্দেশ। সারা পৃথিবীকে ইসলামের পতাকাতলে আনতে হবে, সেটা ছলে-বলে- কৌশলে, যেভাবেই হোক।""",antisocial,antisocial,antisocial
মডারেট মুসলিমদের এট্রাকশন পাওয়ার চেষ্টায় একধাপ,antisocial,antisocial,antisocial
"""যে কানাডিয়ান (নিহতরাও সবাই কানাডিয়ান নাগরিক) সাদা টেররিস্টটি এই হত্যাকান্ড ঘটিয়েছে ( 'পূর্ব পরিকল্পিত' শব্দ চয়নটি মনে হয় যথাযথ নয়, কারন এটি গাড়ি চালাতে চালাতে মুহুর্তের সিদ্ধান্তে আক্রমণ। হ্যা, তার ইমিগ্রেন্ট/মুসলিম বিদ্বেষ আগে থেকেই ছিল, সে এই হামলার মোটিভ সম্পূর্ণ হেট ক্রাইম সেটাও স্বীকার করেছে, কিন্তু পরিবারটি যে ওই সময়ে ঐখানে রাস্তা পার হবে সেটা বোধহয় আগে থেকে জানা ছিল না। এই তাৎক্ষনিক সিদ্ধান্তের সাথে মাদক/এলকোহল ও জড়িত থাকতে পারে) তার ছোটবেলার বা কোন আত্মীয়ের ইসলামী টেররিজম এর অসহায় শিকার হবার কোন ট্রমা আছে কি না তা কি কেউ জানতে চেয়েছে? জগতে যত লোক লোন উলফ হোয়াইট (রাইটউইং/সুপ্রেমেসস্ট শব্দ ব্যবহার করলাম না, কারন জেনোফোবিক যে কেউ হতে পারে) টেররিজমের শিকার হয়েছে, তার চাইতে কয়েক হাজার গুন সংখ্যাগুরু সমাজের মানুষ শিকার হয়েছে ইসলামী লোন উলফ বা টেরর সেল এর টেররিজমের। শুধু ভীড়ের উপরে ট্রাক উঠিয়ে দেওয়ায় ঘটনাতেই হাজার হাজার সাদা পরিবার এর শিশু এতিম হয়েছে। এদের ট্রমা, ঘৃণার কথাও লেখায় যোগ করা উচিত। পশ্চিমা সভ্যতা উন্নত বলেই সবাই সব ট্রমা হজম",social,social,social
আপনিই তো নতুন ঘৃণার প্ররোচনা দিচ্ছেন? ধর্মবিদ্বেষ উসকে দিয়ে নাস্তিকতাকে প্রমোট করছেন! আর আপনি নিবিড়ভাবে ও নিরপেক্ষ মনে ইসলামকে অধ্যায়ন করুন ইসলামকে জানুন আমার বিশ্বাস কোন ঘৃণা বা বিদ্বেষের নূন্যতম লেশও পাবেন না ইনশাআল্লাহ কারণ ইসলাম মানবতা ও মানবাধিকার সংরক্ষণ ও সুষ্ঠ পৃথিবীর অনন্য ও অন্যতম হাতিয়ার!,social,social,social
"""আমার দেখা এ সময়ের এ সমাজে সবচেয়ে বেশি বিদ্বেষ ছড়ানো ব্যক্তিটির নাম আসিফ মহিউদ্দিন, তার মুখে ভালোবাসার কথা, হায়রে মানুষ""",antisocial,antisocial,antisocial
ওলে ওলে বাবুটা লে… কী নিষ্পাপ!,antisocial,antisocial,antisocial
"""আসিফ, তোমার তো খুশী হওয়ার কথা। একটু খুনী কে বাহবা দাও,টাকা পাইবা।""",antisocial,antisocial,antisocial
""""""" কিন্তু মতাদর্শের সমালোচনা যেন সাধারণ নিরপরাধ মানুষের প্রতি ঘৃণায় পরিণত না হয়।"""" এই বাক্যের কতটুকু আপনি অতীতে নিজে পালন করেছেন বা এখন করেন?""",social,social,social
সমস্যার সূতিকাগারে গিয়ে চিকিৎসা করা ছাড়া এর সমাধান নাই। ইট মারলে তো কেউ না কেউ পাটকেল মারবেই। যদিও এই অমোঘ সত্যটা মেনে নিতে পারবেন না।,social,social,social
"""আমাদের মুসলমানদের ধর্মগ্রন্থ পবিত্র কোরআন কর্তৃক 'বিধর্মী বিদ্বেষ' স্বীকৃত! ফলশ্রুতিতে, আমাদের আচার-আচরণের মধ্যে এই বিদ্বেষ প্রায়ই দৃষ্টিগোচর হয়!বিধর্মীদের ধর্মগ্রন্থ কর্তৃক 'মুসলিম বিদ্বেষ' স্বীকৃত নয়! তারপরও আমাদের আচার-আচরণ'ই তাঁদের মধ্যে আমাদের প্রতি ঘৃণার জন্ম দিচ্ছে।""",social,social,social
ইন্না লিল্লাহি ওয়া ইন্না ইলাইহি রাজিউন' ৪/৫/৫০ জন পশ্চিমা বিশ্বে মারা গেছে আল্লাফাক কুনি বা কাপের জুংগিদের বুজদান করুন। কিন্তু আজার আজার কাপের পতিদিন এসলাম গুহন কচ্চে।তুরা নাস্তেক তুরা এচলাম বুজতি ন!****খেলা আভি বাকি হে দোস্ত..! ২০২৫ শের পর পশ্চিমা বিশ্বে শান্তির ধর্ম পবিত্র এচলাম আইডেন্টি ক্রাইসিসে পরবে।,social,social,social
এই ব্যাপারটা আরও একটা ৯/১১এর জন্ম দিতে পারে অনায়াসেই,social,social,social
"""ঘৃনার এই ইতিহাস বহু পুরনো, প্রতিহিংসা আর প্রতিশোধ এর ইতিহাসটাও তাই, এটাকে বদলানো অসম্ভব।""",social,social,social
তসলিমায় বলুন আর অন্য নাস্তিকি বলুন অন্য কোনো ধর্মের কেও দোষ করলেও এরা ঘুরিয়ে ফিরিয়ে মুসলমানদের এট্যাক করবে।,social,social,social
কত সহজ-সরল ভাবে জঙ্গির থিওরিটা আপনি ব্যাখ্যা করলেন বোম পরল পুলিশ নিরীহ দের ধরল অমানবিক টর্চার করল পরিবারটি জঙ্গি হয়ে গেল,social,social,social
এই ধর্ম হচ্ছে সকল অধর্মের মূল,antisocial,antisocial,antisocial
অনেক দিন পর একটা সঠিক যুক্তিযুক্ত বিজ্ঞানসম্মত লেখা পেলাম।ভালো।,social,social,social
নিহত পরিবারের জন্য সমবেদনা রইলো। পাশাপাশি ধর্মের দোহাই দিয়ে মানুষ হত্যা বন্ধ করার জন্য সকল জঙ্গি মামাদের অনুরোধ করছি। আর যদি অনুরোধ না মানেন তবে রাষ্ট্রের প্রচলিত আইনে ব্যাবস্থা নেওয়ার জন্য নীতি নির্ধারকদের প্রতি আহবান রইল।,social,social,social
জগতে শত্রুতার দ্বারা শত্রুতা দমন করা যায় না মিত্রতার দ্বারাই শত্রুতা জয় করতে হয়।বুদ্ধ।,social,social,social
তুই একটা নাস্তিক,antisocial,antisocial,antisocial
আসিফ মহিউদ্দিন বড় মাপের ছাগল হলেও আজকের স্টেটাসে কিছু বিচক্ষণতা দেখিয়েছেন... তবে ঘুরিয়ে পেচিয়ে ইসলাম মুসলিম আলেম-ওলামাদের বিরুদ্ধে মিথ্যা প্রোপাগান্ডা অব্যাহত রেখেছেন যা খুবই দুঃখজনক!,social,social,social
ধর্ম হচ্ছে মানুষের আধ্যাত্মিক ক্ষুধা নিবারণে। মানবিক পৃথিবী গঠনে। আর ধর্মীয় উদ্মাদ কাল হলো। মানুষ হয়েও ধর্মের নামে হিস্র জঘন্য কাজ করি।,social,social,social
সুন্দর একটা লেখা পড়লাম,social,social,social
এ সকল জঙ্গিদের গুরু কে?,social,social,social
প্রতিটি হত্যাকাণ্ডের নিন্দা জানানো সভ্য সমাজের কর্তব্য। কিন্তু একটা ব্যাপার একটু মনে করিয়ে দিতে বাধ্য হচ্ছি যে বাস্তবতা হচ্ছে কোনো অমুসলিম যখন কোন মুসলমানকে হত্যা করে তখন সে ইসলামভীতি অর্থাৎ ইসলামোফোবিয়ায় আক্রান্ত হয়ে সেই হত্যাকাণ্ড চালায়। সে তার নিজস্ব মুক্ত মতবাদকে ইসলামের আগ্রাসন থেকে বাঁচানোর জন্য সেই হত্যাকাণ্ড চালায়। যদিও হত্যা করাকে কোন ক্ষেত্রেই সমর্থন করা যায়না কিন্তু পরোক্ষেভাবে এসবের জন্য ইসলাম নিজেই দায়ী কারণ কোনো অমুসলিম অর্থাৎ হিন্দু অথবা খ্রিস্টান বর্তমান সময়ে পৃথিবীজুড়ে খ্রিস্টান অথবা হিন্দুসাম্রাজ্য স্থাপনের অলীক স্বপ্ন দেখেনা। বর্তমান পৃথিবীতে আপনি শতকরা 5 ভাগ হিন্দু অথবা খ্রিস্টান পাবেননা যারা যীশুর পুনরুত্থান অথবা কল্কি অবতারের আগমনের বিশ্বাস করে। কিন্তু এই পৃথিবীতে শতকরা 85 ভাগ মোমিন বিশ্বজুড়ে ইসলামিক সাম্রাজ্য স্থাপন এবং ইমাম মাহাদীর আগমনের অদ্ভুত স্বপ্ন দেখে।,antisocial,antisocial,antisocial
"""পৃথিবীর সকল ধর্মের মানুষ(মুসলিম ছাড়া) তাদের নিজ নিজ ধর্মের নৃশংসতা ও গোঁড়ামি থেকে বেড়িয়ে আসার জন্য যখন নিজ নিজ ধর্মের বিরুদ্ধে বিক্ষোভ দেখাচ্ছে ঠিক তখনই মুসলিম ধর্মাবলম্বী মানুষ গুলো ইসলামের নৃশংসতা, অন্য ধর্মের মানুষ কে হত্যা ও গোঁড়ামি টা নিয়ে ন্যায় ও শ্রেষ্ঠত্ব দাবী করে নিজেরা গৌরবান্বিত হচ্ছে।।। বর্তমান পরিস্থিতির জন্য মুসলিমরাইদায়ী""",antisocial,antisocial,antisocial
"""যে ব্যক্তি এই জঘন্য , অক্ষমাযোগ্য ঘটনা ঘটাইছে তার পরিচয় এখনো পাইনি ? তার ফাঁসি চাই""",social,social,social
যতদিন ধর্ম থাকবে ততদিন ধর্মিয় বিদ্বেষ থাকবে।,antisocial,antisocial,antisocial
আপনার দৃষ্টিভঙ্গি কি একটু নিরেপক্ষ হচ্ছে!,social,social,social
"""বিশ্বে নাস্তিকের সংখ্যা ১৪% অইছে এবং প্রতিদিন বাড়ছে । এখন তাদের জন্য দরকার একটি পতাকা বা ঝান্ডাওয়ালা একটা ঘর বা বিল্ডিং, যেখানে তারা মিটিং বা বক্তৃতা করতে পারবে । তারপর দরকার একটি বিধিমালা বা বই বা নাস্তিক গ্রন্থ , যাতে লিখা থাকবে তারা কি করবে বা কি করতে পারবে না, আস্তিক বা নাস্তিকদের কি রকম আচরণ করতে হবে,,,,,, , , ইত্যাদি আর কি ।""",social,social,social
এসব হত্যাকাণ্ডের ইন্ধনে আপনাদের অল্প হলেও একটু অবদান আছে,antisocial,antisocial,antisocial
চমৎকার লিখেছেন। ধর্মীয় পরিচয়ের জন্য যেকোন ধরণের হত্যা সমাজে শুধু ঘৃণা ও বিদ্বেষের বীজ বপন করবে।,social,social,social
"""এসব সহিংসতা মৃত্যুর হার বাড়িয়ে পৃথিবীর পরিবেশের ভারসাম্য রাখে, তাই এসব খুনাখুনি সৃষ্টির প্রথম থেকে ছিল, এখনো চলবে, না মরলে পৃথিবী একদিন ব্লাকহোলে ডুবে যাবে, তাই এসব খুনাখুনি দরকার আছে --++ , বিজ্ঞানের জোরে সব মেয়ে যদি ১০-১৫ টা করে পয়দা করা শুরু করে তাইলে তো আরো খবর আছে""",antisocial,antisocial,antisocial
ঢিলটি মারলে পাটকেলটি খেতে হয় । এবার যদি মুসলিমদের হুশ হয় ।,antisocial,antisocial,antisocial
ঠিক বলেছেন ভাইয়া এগুলা হচ্ছে ইহুদি জঙ্গী,antisocial,antisocial,antisocial
"""দাদা আপনি এত্তবড় যুক্তিবাদি,কৈ একবারওতো খ্রিষ্টান জঙ্গিবাদি বল্লেননা,ভন্ডামি বাদ দেন দাদা।""",antisocial,antisocial,antisocial
একটু তেলতেলে লাগলো।,antisocial,antisocial,antisocial
যেসব ধর্মের সামাজিক আচার অনূষ্ঠান আছে সেসব ধর্মের ধর্ম পরিচয়কে কিভাবে ব্যাক্তিগত পরিসরে সীমাবদ্ধ রাখা যাবে।,social,social,social
সস্তা লেখা,antisocial,antisocial,antisocial
তারা জন্মদেয় বলেই তারা মা।,social,social,social
অসাধারন লেখা।।,social,social,social
কথাগুলো বাস্তব। তবে মেয়েদের সতর্ক থাকা উচিৎ,social,social,social
"""উল্টো ঘটনাও দেখা যায়। কোন ছেলে যদি মন পরিবর্তন করে তখন 'বিয়ের প্রলভনে ধর্ষণ' করার অভিযোগে থানায় কত শত মামলা আছে খতিয়ে দেখবেন। আসল সমস্যা হলো, এসব সম্পর্কে কোন সম্মান থাকে না। তাই এমন সংকট দেখা যায়। সম্মান থাকলে সম্পর্কের অবস্থা যাই হোক কেউ নোংরামি করবে না।""",social,social,social
"""খুব সুন্দর কথা বলেছেন, দাদা।কি জানেন তো, যাদের সাথে এমন ঘটনা ঘটে তারা সত্যি মানুষের চেহারায় কিছু নিকৃষ্ট জীবের ছবি দেখতে পায়।""",social,social,social
"""এর সাথে একটি কথা জুড়ে দিলে ভালো হতো, মেয়েদের অনলাইন কাউকে বিশ্বাস করা ঠিক না। অনলাইনে কিংবা অফলাইন কোথাও এমন কোনো কথা লেখা, বলা, ছবি দেওয়া ঠিক না। কেননা আমরা আজকাল এসব ক্রাইম খুব বেশি দেখতে পাচ্ছি। আর ভুগতে যদি মেয়েদের হয়, তাহলে সাবধান তারাই হক। এতে যদি প্রেমিক না জোট তাহলে দরকার নেই।""",social,social,social
পাপ যত পুরুষেই করুক না কেন!সমাজ কলঙ্ক নারীকেই দিবে৷আসলে সমাজ ব্যবস্থাটাই এমন দাড়িয়েছে যে পরিবর্তন আনতে গেলে হয়তো আমার মত সাধারণ মেয়েদের নোংরা গালাগাল আর এসিডে জলসে যাওয়া বিকৃত মুখ নিয়ে আত্মহত্যা করে বসে৷কিচ্ছু বলা যাবে না চুপচাপ দেখে যাওয়া ছাড়া৷,social,social,social
আর ছেলেরা মন পরিবর্তন করলে যে ধর্ষণ মামলা দেয়..সেটার কি হবে,social,social,social
বাংলাদেশ এমন একটা দেশ যেখানে একটা পুরুষ একাধিক বিয়ে করলে সমস্যা নাই। কিন্তু একটা মেয়ে একাধিক প্রেম করলেই সে বেশ্যা!,antisocial,antisocial,antisocial
একদম ঠিক কথা,social,social,social
"""মেয়েরা আমাদের সমাজে,পরিবারে,কর্মস্থলে অবহেলিত। এর থেকে পরিত্রাণ পাওয়ার উপায় কি?""",social,social,social
এই নোংরা লোকটার নাম রাজিবুর রহমান ওরফে প্রমিথিউস ওরফে হাল্লাজ মনসুর। সমাজতান্ত্রিক ছাত্রফ্রন্ট করে। এবং এইসব কাজে তাকে সাহায্য করে বিবি হাওয়া নামক এক মহিলা।,antisocial,antisocial,antisocial
